Company Name,Sum of Funding Amt (USD millions)

Anthropic,2800

Mistral AI,987

Alphasense,800

Figure,675

MiniMax,600

PolyAI,500

Runway,450

Cohere,450

Formation Bio,372

CData,350

Zhipu,340

Lambda,320

DeepL,300

Baichuan,300

Cyera,300

Generate Biomedicines,273

Augment,252

Perplexity,250

Rivos,250

Divergent Technologies,230

Rebellions,224

Helsing,223

H (fka Holistic AI),220

Imbue,212

Together AI,206

The DNEG Group,200

Glean,200

Waabi,200

Abridge,180

Celestial AI,175

Urbanic,150

Shield AI,150

Kore.ai,150

EvolutionaryScale,142

WEKA,140

Enfabrica,125

Etched,120

Hailo,120

Vast Data,118

Magic AI,117

The BrandTech Group,115

Zephyr AI,111

Arkon Energy,110

Sierra,110

Atlan,105

Together,102.5

Recogni,102

Odyssey Therapeutics,101

FloQast,100

Pryon,100

Karius,100

Iambic Therapeutics,100

Writer,100

Hebbia,100

Cognigy,100

1X Technologies,100

PhotoRoom,93

Fetcherr,90

Sentient,85

Foretellix,85

Pixis,85

ElevenLabs,80

DeepX,80

Pika,80

Elucid,80

Harvey.ai,80

Ideogram,80

Frore Systems,80

Foundry,80

Frontier Medicines,80

RapidSOS,75

Quora,75

Upstage,72

Vilya,71

SiMa.ai,70

Axelera,68

Parloa,66

Codeium,65

Stampli,61

Eliyan,60

HeyGen,60

Corti,60

Genspark,60

BigID,60

Napier AI,57.1

ThetaRay,57

Essential AI,56.5

Pika Labs,55

Ibex Medical Analytics,55

Forta,55

Hippocratic AI,53

A121 Labs,53

Stability AI,50

Dtex Systems,50

AiDash,50

Krutrim,50

Covera Health,50

Legion Technologies,50

Canary Technologies,50

Unlearn,50

Taalas,50

AssemblyAI,50

Twelve Labs,50

HiddenLayer,50

Grand Total,18950.1
