Company Name,Sum of Funding Amt (USD millions),Homepage,domain,legalName,tags,description,foundedYear,category.subIndustry,category.industry,metrics.employees,metrics.employeesRange,metrics.estimatedAnnualRevenue,metrics.raised,linkedin.handle,twitter.handle,crunchbase.handle,logo,Location
Anthropic,2800,https://www.anthropic.com,anthropic.com,Anthropic PBC,"['Artificial Intelligence (AI)', 'Generative AI', 'Information Technology', 'Machine Learning', 'B2B']","We're an AI research company that builds reliable, interpretable, and steerable AI systems. Our first product is Claude, an AI assistant for tasks at any scale. Our research interests span multiple areas including natural language, human feedback, scaling laws, reinforcement learning, code generation, and interpretability.",2021,Business Support Services,Support Services,782,501-1K,,7559000000,company/anthropicresearch,AnthropicAI,organization/anthropic,http://logo.bigpicture.io/logo/anthropic.com,"San Francisco, California, United States of America"
Mistral AI,987,https://mistral.ai,mistral.ai,Mistral AI SAS,"['Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'Natural Language Processing', 'Software', 'B2B', 'B2C']","Fast, open-source and secure language models. Facilitated specialisation of models on business use-cases, leveraging private data and usage feedback. Built from a world-class team in Europe, targeting global market. Join the team ! https://jobs.lever.co/mistral/",2023,Internet,Software & Computer Services,104,51-200,,1187698964,company/mistralai,aimistral,organization/mistral-ai,http://logo.bigpicture.io/logo/mistral.ai,"Paris, Île-de-France, France"
Alphasense,800,https://www.alpha-sense.com,alpha-sense.com,"AlphaSense, Inc.","['Analytics', 'Artificial Intelligence (AI)', 'Machine Learning', 'Market Research', 'SaaS', 'Search Engine', 'B2G', 'B2B']","AlphaSense is how the world’s most sophisticated companies remove uncertainty from their decision-making. With market intelligence and search built on proven AI, AlphaSense quickly delivers relevant insights from a trustworthy universe of public and private content—including equity research, company filings, event transcripts, expert calls, news, trade journals, and clients’ own research content. Headquartered in New York City, AlphaSense employs over 1,000 people across offices in the U.S., U.K., Finland, India, and Singapore. For more information, please visit www.alpha-sense.com.",2008,Software,Software & Computer Services,3001,1K-5K,,1420053806,company/alphasense,AlphaSenseInc,organization/alphasense,http://logo.bigpicture.io/logo/alpha-sense.com,"New York, United States of America"
Figure,675,https://www.figure.ai,figure.ai,FIGURE AI INC.,"['Artificial Intelligence (AI)', 'Machinery Manufacturing', 'Manufacturing', 'Robotics', 'B2B', 'B2C']","Figure is an AI Robotics company building the world's first commercially viable autonomous humanoid robot. We are based in Sunnyvale, CA.",2022,Industrial Machinery,Industrial Engineering,134,51-200,,854000000,company/figure-ai,_figureai,organization/figure-b5dc,http://logo.bigpicture.io/logo/figure.ai,"Sunnyvale, California, United States of America"
MiniMax,600,https://www.minimaxi.com,minimaxi.com,Minimax GmbH & Co,"[‘B2B’, ‘Saas’,’FinTech’]",,2012,Power Tools,,850,10k-11k,,2403071000,company/minimaxi,,organization/minimax,http://logo.bigpicture.io/logo/minimaxi.com,"Bad Oldesloe, Germany"
PolyAI,500,https://poly.ai,poly.ai,PolyAI Ltd,"[‘Artificial Intelligence’,’Generative AI’]","PolyAI builds enterprise conversational assistants that carry on natural conversations with customers to solve their problems. Our conversational assistants understand customers, regardless of what they say or how they say it.",2017,Software,Software & Computer Services,126,51-200,$10M-$50M,120000000,company/polyai,,organization/poly-ai,http://logo.bigpicture.io/logo/poly.ai,"London, England, United Kingdom"
Runway,450,https://runwayml.com,runwayml.com,"Runway AI, Inc.","['Apps', 'Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'Software', 'Video Editing']","Runway is a research company pioneering new tools for human imagination. Runway has been at the forefront of multi-modal AI systems ensuring that the future of content creation is accessible, controllable and empowering for creatives. Runway’s mission is to ensure that anyone anywhere can tell their stories. We believe that deep learning techniques applied to audiovisual content will forever change art, creativity and design tools.",2018,Software,Software & Computer Services,126,51-200,,236500000,company/runwayml,runwayml,organization/runwayml,http://logo.bigpicture.io/logo/runwayml.com,"New York, United States of America"
Cohere,450,https://cohere.com,cohere.com,Cohere Inc.,"['Artificial Intelligence (AI)', 'Generative AI', 'Machine Learning', 'Natural Language Processing', 'Software', 'B2C', 'B2B']","Cohere is the leading AI platform for enterprise. Our world-class AI is uniquely suited to the needs of business, unlocking unprecedented ease-of-use, accessibility, and data privacy. Cohere’s platform is cloud-agnostic, accessible through API as a managed service, and can be deployed on virtual private cloud (VPC) or even on-site to meet companies where their data is, offering the highest levels of flexibility and control. Founded by Google Brain alumni and a co-author of the seminal Transformer research paper, Cohere is on a mission to transform enterprises and their products with AI that unlocks a more intuitive way to generate, search, and summarize information than ever before. We are backed by group of global institutional and strategic investors including Index Ventures, Oracle, NVIDIA, Salesforce Ventures, Inovia Capital, DTCP, Mirae Asset, Radical Ventures, Section 32, and Tiger Global, as well as several AI luminaries, including Geoffrey Hinton, Jeff Dean, Fei-Fei Li, Pieter Abbeel, and Raquel Urtasun.",2019,Software,Software & Computer Services,659,501-1K,,884946073,company/cohere-ai,Cohere,organization/cohere-82b8,http://logo.bigpicture.io/logo/cohere.com,"Toronto, Ontario, Canada"
Formation Bio,372,https://www.formation.bio,formation.bio,"Formation Bio, Inc.","['Biotechnology', 'Clinical Trials', 'Health Care', 'Medical', 'Pharmaceutical', 'B2B']","Formation Bio is a tech-driven pharmaceutical company differentiated by radically more efficient drug development. Formation Bio has built a technology platform that optimizes critical aspects of clinical drug development, enabling more efficient trial design, faster trial completion, and higher quality trial data. The company acquires clinical-stage drugs from pharmaceutical and biotech companies with the goal to develop them faster in order to accelerate access to new treatments for patients, and to unlock greater value per program.",2013,Biotechnology,Pharmaceuticals & Biotechnology,126,51-200,,528000000,company/formationbio,,organization/trialspark,http://logo.bigpicture.io/logo/formation.bio,"New York, United States of America"
CData,350,https://www.cdata.com,cdata.com,"CData Software, Inc.","['Big Data', 'Cloud Data Services', 'Data Integration', 'Data Visualization', 'Database', 'B2B', 'B2G', 'ISP']","CData is the data connectivity company, simplifying access to any data, anywhere.",2016,Software,Software & Computer Services,351,201-500,$10M-$50M,510000000,company/cdatasoftware,cdatasoftware,organization/cdata-software,http://logo.bigpicture.io/logo/cdata.com,"Chapel Hill, North Carolina, United States of America"
